Time (s),CSA Inlet,ASDIU 3 Inlet,ASDIU 4 Inlet,ASDIU 5 Inlet,ASP 4 Inlet,ASP 3 Inlet,ASP 2 Inlet,ASP 1 Inlet,ASDIU 2 Inlet,ASDIU 1 Inlet,ADR 1 Inlet,SDP Inlet,Ethernet SYS Inlet,Ethernet RT Inlet
0,27.93,27.28,27.52,28.32,27.78,27.8,28.56,28.39,28.19,28.39,27.64,27.92,27.24,27.24
10,29.76,29.01,29.28,30.21,29.6,29.62,30.5,30.3,30.07,30.3,29.42,29.75,28.94,28.94
20,31.36,30.54,30.83,31.85,31.19,31.21,32.17,31.95,31.7,31.95,30.98,31.35,30.45,30.45
30,32.76,31.9,32.2,33.27,32.59,32.6,33.61,33.38,33.12,33.38,32.36,32.75,31.8,31.8
40,33.98,33.1,33.41,34.5,33.81,33.82,34.85,34.61,34.36,34.61,33.57,33.97,32.99,32.99
50,35.05,34.17,34.48,35.57,34.89,34.9,35.92,35.68,35.43,35.68,34.64,35.04,34.05,34.05
60,35.98,35.11,35.42,36.49,35.83,35.83,36.83,36.6,36.36,36.6,35.58,35.98,34.99,34.99
70,36.8,35.95,36.26,37.3,36.65,36.66,37.62,37.4,37.16,37.4,36.4,36.8,35.83,35.83
80,37.52,36.69,36.99,37.99,37.37,37.38,38.3,38.09,37.86,38.09,37.13,37.51,36.57,36.57
90,38.14,37.35,37.64,38.59,38.01,38.01,38.89,38.69,38.47,38.69,37.77,38.14,37.23,37.23
100,38.69,37.94,38.21,39.11,38.56,38.57,39.39,39.21,39,39.21,38.34,38.69,37.82,37.82
110,39.17,38.45,38.71,39.56,39.05,39.05,39.82,39.65,39.46,39.65,38.84,39.16,38.34,38.34
120,39.58,38.91,39.16,39.96,39.47,39.48,40.2,40.04,39.86,40.04,39.27,39.58,38.8,38.8
130,39.95,39.32,39.55,40.3,39.85,39.85,40.52,40.37,40.21,40.37,39.66,39.95,39.22,39.22
140,40.27,39.68,39.9,40.59,40.17,40.18,40.79,40.66,40.51,40.66,40,40.27,39.58,39.58
150,40.55,40,40.2,40.84,40.46,40.46,41.03,40.91,40.77,40.91,40.3,40.55,39.91,39.91
160,40.8,40.28,40.47,41.07,40.71,40.72,41.24,41.12,41,41.12,40.56,40.79,40.2,40.2
170,41.01,40.54,40.71,41.26,40.93,40.94,41.41,41.31,41.2,41.31,40.79,41.01,40.45,40.45
180,41.2,40.76,40.92,41.42,41.13,41.13,41.56,41.47,41.37,41.47,41,41.2,40.68,40.68
190,41.36,40.96,41.11,41.57,41.3,41.3,41.69,41.61,41.52,41.61,41.18,41.36,40.88,40.88
200,41.5,41.13,41.27,41.69,41.45,41.45,41.81,41.73,41.65,41.73,41.33,41.5,41.06,41.06
210,41.63,41.29,41.41,41.8,41.58,41.58,41.9,41.83,41.76,41.83,41.47,41.63,41.22,41.22
220,41.74,41.42,41.54,41.89,41.69,41.69,41.99,41.92,41.86,41.92,41.6,41.74,41.37,41.37
230,41.83,41.55,41.65,41.97,41.79,41.79,42.06,42,41.94,42,41.7,41.83,41.49,41.49
240,41.92,41.65,41.75,42.04,41.88,41.88,42.12,42.07,42.01,42.07,41.8,41.92,41.61,41.61
250,41.99,41.75,41.84,42.1,41.95,41.96,42.17,42.13,42.08,42.13,41.88,41.99,41.7,41.7
260,42.05,41.84,41.92,42.16,42.02,42.02,42.22,42.18,42.13,42.18,41.96,42.05,41.79,41.79
270,42.11,41.91,41.99,42.2,42.08,42.08,42.26,42.22,42.18,42.22,42.02,42.11,41.87,41.87
280,42.16,41.98,42.05,42.24,42.13,42.13,42.29,42.26,42.22,42.26,42.08,42.16,41.94,41.94
290,42.2,42.04,42.1,42.28,42.18,42.18,42.32,42.29,42.26,42.29,42.13,42.2,42,42
300,42.24,42.09,42.15,42.31,42.22,42.22,42.35,42.32,42.29,42.32,42.17,42.24,42.06,42.06
